City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
olavarria,-36.8927,-60.3225,67.69,51,10,11.23,AR,1619889675
paita,-5.0892,-81.1144,86.0,54,40,18.41,PE,1619889675
bhainsa,26.9548,76.9012,89.55,22,99,7.45,IN,1619889675
vic,41.9301,2.2549,53.01,96,82,1.01,ES,1619889676
muli,2.9167,73.5667,84.18,65,9,3.58,MV,1619889676
sidmouth,50.6909,-3.2397,48.0,60,68,1.01,GB,1619889676
montevideo,-34.8335,-56.1674,77.0,50,20,9.22,UY,1619889522
chitral,35.8462,71.7858,63.5,56,52,1.3,PK,1619889677
nizhniy kuranakh,58.8353,125.4869,33.87,99,100,1.86,RU,1619889677
ust-kuyga,70.0167,135.6,27.79,86,100,5.99,RU,1619889677
loandjili,-4.7561,11.8578,84.2,74,20,4.61,CG,1619889678
gouyave,12.1646,-61.7296,84.2,70,40,20.71,GD,1619889678
chara,56.9064,118.2631,31.39,77,98,1.12,RU,1619889678
bac lieu,9.285,105.7244,84.18,74,73,10.04,VN,1619889678
sao miguel,-5.4667,-35.3667,87.8,51,40,14.97,BR,1619889679
erenhot,43.6475,111.9767,46.06,21,55,17.74,CN,1619889679
diamantino,-14.4086,-56.4461,88.9,47,18,4.7,BR,1619889679
broome,42.2506,-75.833,51.01,53,1,12.66,US,1619889680
koygorodok,60.445,50.9968,36.84,88,67,6.58,RU,1619889680
kavieng,-2.5744,150.7967,81.57,76,86,4.36,PG,1619889680
karasburg,-28.0167,18.75,64.72,27,0,11.83,NA,1619889681
togur,58.3631,82.8265,37.26,79,47,13.04,RU,1619889681
nishihara,26.1842,127.7558,71.6,88,75,5.75,JP,1619889681
gifhorn,52.4833,10.55,57.0,62,40,3.44,DE,1619889682
polson,47.6936,-114.1632,62.01,43,100,3.0,US,1619889682
balgazyn,51.0,95.2,34.88,98,100,5.84,RU,1619889682
paka,4.6374,103.4368,78.8,94,66,2.3,MY,1619889683
nouadhibou,20.931,-17.0347,71.6,68,4,23.02,MR,1619889683
benalla,-36.55,145.9833,46.4,93,100,2.3,AU,1619889684
mahajanga,-15.7167,46.3167,82.4,89,20,4.61,MG,1619889684
rumphi,-11.0186,33.8575,65.25,89,39,3.96,MW,1619889684
muravlenko,63.7898,74.523,27.25,88,96,3.94,RU,1619889685
puerto escondido,15.85,-97.0667,86.0,66,40,12.66,MX,1619889685
pinega,64.7001,43.3936,32.07,58,57,6.69,RU,1619889685
cabo san lucas,22.8909,-109.9124,79.0,68,1,4.61,MX,1619889578
bambanglipuro,-7.95,110.2833,77.49,86,51,5.35,ID,1619889686
sao joao da barra,-21.6403,-41.0511,71.6,88,75,9.22,BR,1619889686
istanbul,41.0351,28.9833,75.2,64,0,2.3,TR,1619889686
porto novo,6.4965,2.6036,87.8,74,40,14.97,BJ,1619889504
swan hill,-35.3378,143.5544,60.89,52,83,8.32,AU,1619889687
sterling,39.0062,-77.4286,64.0,25,1,12.66,US,1619889411
tsaratanana,-16.7833,47.65,75.72,78,44,5.59,MG,1619889687
bayan,46.0833,127.4,46.04,70,93,3.47,CN,1619889687
aasiaat,68.7098,-52.8699,34.14,73,32,11.25,GL,1619889688
myrtle beach,33.6891,-78.8867,73.99,32,1,12.66,US,1619889515
ewa beach,21.3156,-158.0072,75.2,73,20,11.5,US,1619889688
khatanga,71.9667,102.5,14.31,95,83,3.83,RU,1619889688
ringebu,61.5167,10.1667,39.2,78,88,1.43,NO,1619889689
rondonopolis,-16.4708,-54.6356,94.6,33,51,8.1,BR,1619889488
fairfield,41.2668,-73.3162,60.8,41,1,12.66,US,1619889398
viedma,-40.8135,-62.9967,74.16,32,98,14.79,AR,1619889689
trincomalee,8.5711,81.2335,82.9,77,100,9.86,LK,1619889495
laguna,38.421,-121.4238,68.0,63,1,3.44,US,1619889690
sandnessjoen,66.0217,12.6316,41.0,65,75,9.22,NO,1619889690
tautira,-17.7333,-149.15,78.8,78,40,5.75,PF,1619889690
cayenne,4.9333,-52.3333,89.6,55,82,6.91,GF,1619889442
clyde river,70.4692,-68.5914,19.4,93,75,2.33,CA,1619889537
aden,12.7794,45.0367,85.66,68,92,5.79,YE,1619889621
xichang,27.8964,102.2634,62.29,75,100,3.31,CN,1619889691
russell,32.3502,-85.1999,78.8,31,1,6.2,US,1619889691
khandyga,62.6667,135.6,29.39,99,100,2.59,RU,1619889692
simoes,-7.5989,-40.8178,91.29,31,65,12.28,BR,1619889692
osorio,-29.8867,-50.2697,82.0,46,0,1.99,BR,1619889692
waitati,-45.75,170.5667,46.0,73,0,1.99,NZ,1619889693
tigil,57.8,158.6667,30.31,93,74,3.44,RU,1619889693
luwuk,-0.9516,122.7875,77.67,89,89,3.06,ID,1619889693
macusani,-14.0833,-70.4333,51.66,39,19,5.08,PE,1619889693
chipinge,-20.1883,32.6236,58.21,96,100,3.51,ZW,1619889694
berlevag,70.8578,29.0864,35.6,75,75,10.36,NO,1619889694
mount isa,-20.7333,139.5,68.0,49,0,9.8,AU,1619889694
tabou,4.423,-7.3528,83.93,73,100,11.86,CI,1619889695
new baltimore,42.6811,-82.7369,57.99,41,75,17.27,US,1619889695
saint-joseph,-21.3667,55.6167,77.0,78,0,3.44,RE,1619889695
luhyny,51.082,28.4006,56.52,81,99,0.54,UA,1619889696
amuntai,-2.4177,115.2494,75.79,93,97,2.04,ID,1619889696
staraya poltavka,50.4772,46.4814,56.37,80,98,6.08,RU,1619889696
cockburn town,21.4612,-71.1419,82.4,65,40,9.22,TC,1619889697
yeppoon,-23.1333,150.7333,66.2,82,44,8.05,AU,1619889697
marovoay,-16.1,46.6333,82.4,89,20,4.61,MG,1619889697
inuvik,68.3499,-133.7218,19.4,93,100,5.75,CA,1619889698
oksfjord,70.2396,22.3479,33.8,60,40,10.36,NO,1619889698
telma,52.6983,103.7097,39.2,100,75,2.24,RU,1619889698
lapy,52.9911,22.8842,46.0,78,100,8.28,PL,1619889563
ojinaga,29.5667,-104.4167,64.99,68,1,6.91,MX,1619889699
san clemente,33.427,-117.612,66.99,80,100,1.99,US,1619889699
araouane,18.9048,-3.5265,101.7,16,73,6.4,ML,1619889699
oranjemund,-28.55,16.4333,68.72,43,0,9.42,NA,1619889700
saint-raymond,45.467,-73.6095,46.99,27,34,3.44,CA,1619889700
ikongo,-21.8833,47.4333,69.67,97,88,2.71,MG,1619889701
sale,34.0389,-6.8166,64.99,55,20,11.5,MA,1619889701
road town,18.4167,-64.6167,84.2,70,40,10.36,VG,1619889701
oga,46.4631,10.347,55.99,93,75,4.61,IT,1619889702
tabas,33.5959,56.9244,77.92,39,67,5.46,IR,1619889702
brae,60.3964,-1.353,44.6,65,90,6.08,GB,1619889702
beitbridge,-22.2167,30.0,68.86,59,100,19.39,ZW,1619889703
inirida,3.8653,-67.9239,83.8,72,89,1.14,CO,1619889703
amapa,1.0,-52.0,80.1,91,89,3.94,BR,1619889703
chokwe,-24.5333,32.9833,68.43,71,82,10.49,MZ,1619889704
maarianhamina,60.0973,19.9348,41.0,38,0,8.05,AX,1619889518
solnechnyy,50.7214,136.6319,33.78,88,100,8.14,RU,1619889704
unjha,23.8,72.4,86.77,28,69,5.19,IN,1619889704
kavos,38.8268,22.8322,75.99,69,73,1.57,GR,1619889705
loukhi,66.0764,33.0381,29.88,65,52,4.59,RU,1619889705
alihe,50.5667,123.7167,37.98,82,60,1.48,CN,1619889705
vanavara,60.34,102.2797,29.5,96,14,4.29,RU,1619889706
chigorodo,7.6664,-76.6811,84.45,74,64,1.32,CO,1619889706
port macquarie,-31.4333,152.9167,59.0,100,75,3.44,AU,1619889706
ulaanbaatar,47.9077,106.8832,48.2,18,40,33.55,MN,1619889543
aloleng,16.1307,119.7824,80.11,78,2,7.99,PH,1619889707
bubaque,11.2833,-15.8333,79.63,69,27,17.47,GW,1619889707
jesus carranza,17.4333,-95.0333,98.24,35,97,4.16,MX,1619889675
katangli,51.7102,143.2326,31.01,97,100,16.73,RU,1619889708
longyan,25.1072,117.0225,68.4,59,74,1.23,CN,1619889708
gladstone,-23.85,151.25,69.8,73,75,9.22,AU,1619889708
lafia,8.4833,8.5167,99.23,29,93,5.68,NG,1619889709
dingle,10.9995,122.6711,77.27,84,11,6.4,PH,1619889709
sula,15.4573,120.3955,80.6,83,75,4.61,PH,1619889709
aripuana,-9.1667,-60.6333,82.9,79,47,1.57,BR,1619889709
faya,18.3851,42.4509,68.0,30,20,4.61,SA,1619889710
westport,41.1415,-73.3579,60.8,36,1,11.5,US,1619889710
cuajinicuilapa,16.4667,-98.4167,91.62,40,81,5.66,MX,1619889710
minot,48.2325,-101.2963,75.2,23,1,24.16,US,1619889711
tubuala,9.5167,-79.0333,84.2,74,40,10.36,PA,1619889711
khuzhir,53.1939,107.3397,31.69,98,100,9.17,RU,1619889711
aykhal,66.0,111.5,30.27,98,100,5.26,RU,1619889712
insar,53.8653,44.3738,48.06,89,80,8.12,RU,1619889712
yumen,40.2833,97.2,69.51,9,99,12.73,CN,1619889712
riyadh,24.6877,46.7219,91.4,13,0,8.05,SA,1619889565
naze,28.3667,129.4833,62.22,64,95,11.7,JP,1619889713
boffa,10.1667,-14.0333,87.66,50,67,13.22,GN,1619889713
balykshi,47.0667,51.8667,71.6,26,0,8.95,KZ,1619889713
baraboo,43.4711,-89.7443,71.6,35,1,17.27,US,1619889714
tacuarembo,-31.7333,-55.9833,77.59,37,0,6.58,UY,1619889714
kendari,-3.945,122.4989,75.52,85,83,1.66,ID,1619889714
rorvik,64.8621,11.2373,39.54,58,40,8.84,NO,1619889714
pandan,14.0453,124.1694,77.0,82,19,5.79,PH,1619889715
rudbar,30.15,62.6,72.07,57,93,18.68,AF,1619889715
santa cruz,-17.8,-63.1667,84.2,42,1,16.11,BO,1619889682
lenina,46.0667,39.7833,64.0,66,18,5.5,RU,1619889715
darhan,49.4867,105.9228,44.26,83,81,8.61,MN,1619889716
samagaltay,50.6022,95.0047,33.15,85,100,7.47,RU,1619889716
vostok,46.4856,135.8833,31.12,86,0,2.46,RU,1619889716
nurota,40.5614,65.6886,69.8,49,0,5.79,UZ,1619889559
lagunas,-5.2269,-75.6753,89.78,45,9,2.86,PE,1619889717
flinders,-34.5833,150.8552,57.99,88,69,1.01,AU,1619889717
port hardy,50.6996,-127.4199,48.2,81,75,3.44,CA,1619889718
realeza,-25.7689,-53.5325,84.78,25,17,3.33,BR,1619889718
templin,53.1186,13.5022,55.99,64,100,4.38,DE,1619889718
hervey bay,-25.2986,152.8535,69.01,94,75,8.05,AU,1619889719
qurayyat,31.3318,37.3428,84.2,15,0,32.21,SA,1619889719
jalu,29.0331,21.5482,97.83,7,0,9.42,LY,1619889719
verkhnetulomskiy,68.6073,31.7962,33.8,44,0,6.71,RU,1619889720
otane,-39.8833,176.6333,45.0,77,5,1.99,NZ,1619889720
champerico,14.3,-91.9167,89.6,55,40,4.61,GT,1619889720
linqiong,30.4159,103.4609,75.2,73,0,4.0,CN,1619889721
kushiro,42.975,144.3747,37.62,84,98,8.46,JP,1619889721
muroto,33.2833,134.15,58.1,63,1,29.62,JP,1619889721
komsomolskiy,40.4272,71.7189,64.4,72,75,11.5,UZ,1619889722
trinidad,-14.8333,-64.9,86.0,48,23,2.3,BO,1619889722
japura,-0.3167,102.35,73.44,97,94,2.19,ID,1619889722
deda,46.9333,24.9,68.0,68,0,6.91,RO,1619889723
zverinogolovskoye,54.4586,64.8542,54.43,42,35,13.78,RU,1619889723
zonguldak,41.25,31.8333,63.21,71,64,2.75,TR,1619889723
ust-kalmanka,52.1207,83.305,42.66,56,83,9.82,RU,1619889724
el sauzal,31.9,-116.6833,66.0,78,98,1.99,MX,1619889724
madang,-5.2246,145.7966,76.86,87,100,1.41,PG,1619889724
montepuez,-13.1256,38.9997,69.71,94,66,4.61,MZ,1619889725
aguimes,27.9054,-15.4461,71.01,60,40,20.71,ES,1619889725
ipixuna,-1.7625,-48.8043,87.8,58,75,5.75,BR,1619889725
morondava,-20.2833,44.2833,80.19,75,88,13.38,MG,1619889726
horki,54.2861,30.9842,48.52,65,100,1.83,BY,1619889726
